po4 no3 no2 o2 sio2 tn na k mg ca so4 cl co3 hco3 nh4 chl_a br toc alk
2.633305263157894387e+03 1.184209677419354921e+04 7.103695652173913686e+02 4.591450000000000000e+04 3.274283333333332848e+04 2.427900000000000000e+05 1.256757641921397531e+06 4.643100436681223073e+04 1.889284773662551306e+05 2.332853007237334969e+05 2.230843750000000000e+05 1.244220028208744479e+06 4.840000000000000000e+03 3.631652459016393404e+05 3.471238888888889051e+04 5.477328571428571740e+04 1.059873417721518933e+02 5.288666666666666424e+04 2.246780000000000000e+05
2.806589473684210134e+03 1.275241935483870839e+04 7.675217391304348666e+02 5.037375000000000000e+04 3.492316666666666424e+04 2.683157142857142608e+05 1.365843231441047974e+06 4.948122270742358523e+04 2.096906172839505889e+05 2.536247317194908974e+05 2.427031250000000000e+05 1.356631875881523360e+06 5.140000000000000000e+03 3.964895081967213191e+05 3.674250000000000000e+04 6.022064285714286234e+04 1.151392405063291164e+02 5.711666666666666424e+04 2.452410000000000000e+05
3.734336842105263258e+03 1.297951612903225760e+04 4.932391304347826235e+02 6.764009375000000000e+04 3.843433333333333576e+04 3.769835714285714203e+05 2.050214934497816721e+06 6.249104803493450163e+04 3.490203292181069846e+05 3.344067382081358228e+05 3.113114583333333721e+05 2.193009873060648330e+06 6.180000000000000000e+03 5.154485245901640155e+05 3.036583333333333576e+04 7.582800000000000000e+04 1.416202531645569707e+02 7.314750000000000000e+04 3.183130000000000000e+05
5.581368421052631675e+03 1.979201612903225760e+04 1.028369565217391482e+03 9.712943750000000000e+04 6.246566666666666424e+04 5.479710714285714785e+05 2.956552838427947834e+06 9.262290393013101129e+04 5.011128395061728079e+05 4.919538432742700679e+05 4.558041666666666861e+05 3.127461212976022158e+06 1.190000000000000000e+04 7.853536065573771484e+05 5.349275000000000000e+04 1.079070357142857101e+05 2.107278481012658347e+02 1.111837500000000000e+05 4.864835000000000000e+05
5.692126315789473665e+03 2.561669354838709478e+04 1.267782608695652016e+03 1.162837187500000000e+05 6.590566666666665697e+04 6.309775000000001164e+05 3.186934890829694457e+06 1.018460480349345016e+05 5.238436625514402403e+05 5.593897554280010518e+05 5.407989583333332557e+05 3.269097320169251878e+06 7.300000000000000000e+03 8.535818032786885742e+05 5.926019444444444525e+04 1.370566071428571304e+05 2.477911392405063395e+02 1.213987500000000000e+05 5.257785000000000000e+05
6.992126315789471846e+03 5.146040322580645443e+04 2.391260869565217490e+03 1.891530000000000000e+05 1.067878333333333285e+05 9.584010714285714785e+05 4.266587729257642291e+06 1.556637772925764439e+05 6.237511934156378265e+05 8.664086473671076819e+05 8.695010416666667443e+05 3.998902679830747191e+06 6.540000000000000000e+03 1.238138852459016489e+06 8.962608333333334303e+04 2.173712500000000000e+05 3.932721518987341938e+02 1.769970833333333430e+05 7.603235000000000000e+05
8.244273684210525971e+03 5.481717741935484082e+04 2.595956521739130949e+03 2.016889062500000000e+05 1.092696666666666570e+05 9.951067857142857974e+05 4.270902183406113647e+06 1.610694978165938810e+05 6.856700000000000000e+05 9.385764287496879697e+05 9.224583333333332557e+05 4.034595204513399396e+06 6.260000000000000000e+03 1.368583114754098235e+06 1.209851388888888760e+05 2.564901785714285797e+05 4.292088607594936889e+02 1.820745833333333139e+05 8.400815000000000000e+05
7.466526315789473301e+03 4.782088709677419683e+04 2.308478260869565474e+03 1.807772812500000000e+05 9.206149999999998545e+04 8.947953571428571595e+05 3.630359519650655333e+06 1.355705895196506754e+05 6.390235390946500702e+05 8.385891564761666814e+05 8.108093750000000000e+05 3.471853314527503215e+06 5.980000000000000000e+03 1.254041803278688574e+06 1.159729166666666715e+05 2.417928214285714203e+05 3.846265822784810098e+02 1.561637500000000000e+05 7.702325000000000000e+05
5.821600000000000364e+03 3.839846774193548481e+04 1.915673913043478251e+03 1.490727812500000000e+05 7.535416666666665697e+04 7.596689285714286380e+05 3.049930917030567769e+06 1.091572707423580869e+05 5.367528395061728079e+05 6.826390940853506327e+05 6.621437500000000000e+05 2.930361071932299063e+06 5.920000000000000000e+03 1.033509016393442638e+06 8.753597222222221899e+04 1.935344642857142899e+05 3.129430379746835342e+02 1.293795833333333285e+05 6.355025000000000000e+05
4.492631578947368325e+03 3.302516129032257595e+04 1.658717391304347757e+03 1.287844062500000000e+05 6.507633333333333576e+04 6.716978571428571595e+05 2.656022445414847229e+06 9.227912663755459653e+04 4.525957613168723765e+05 5.774920638881956693e+05 5.665052083333333721e+05 2.528671368124118540e+06 5.560000000000000000e+03 8.729255737704916392e+05 6.458838888888889051e+04 1.584506428571428696e+05 2.644810126582278258e+02 1.115050000000000000e+05 5.371610000000000000e+05
