[po4_discharge];[no3_discharge];[no2_discharge];[o2_discharge];[sio2_discharge];[tn_discharge];[na_discharge];[k_discharge];[mg_discharge];[ca_discharge];[cl_discharge];[so4_discharge];[co3_discharge];[hco3_discharge];[nh4_discharge];[chl_a_discharge];[br_discharge];[alk_discharge])
1094.7741935484;4507.8571428571;150.85714285714;4509.21875;6330.3571428571;21287.142857143;137141.26637555;4906.4192139738;24255.349794239;25307.611679561;147227.08039492;69413.599500936;1400;194378.33333333;5661.1428571429;6567.7857142857;10.936708860759;23482
1036.1935483871;4485.7142857143;149.21428571429;4535.34375;6234.2857142857;21913.571428571;136090.21834061;4764.0611353712;24088.806584362;24954.654354879;145684.06205924;68658.76481597;1500;192296.66666667;5217.4285714286;6372;10.746835443038;23247
1072.064516129;4744.2857142857;154.14285714286;4586.46875;6320.7142857143;21487.142857143;129913.62445415;4766.8558951965;23859.218106996;25475.318193162;139071.93229901;68839.675608235;1700;197518.33333333;5788.5;6707.5;10.974683544304;23897
993.16129032258;4845.7142857143;152.64285714286;4382.4375;5959.2857142857;19925.714285714;111840.17467249;4363.711790393;21416.666666667;24165.984527078;118558.53314528;64288.833437305;1800;188063.33333333;5798.5;6559.8571428571;10.430379746835;22777
911.03225806452;4740.3571428571;147.64285714286;4431.40625;5915.7142857143;21171.071428571;114835.06550218;4234.8253275109;21599.87654321;23737.197404542;121368.12411848;63683.718028696;2000;185414.16666667;4970.8928571429;6137.75;10.145569620253;22484.5
1010;5082.5;156.42857142857;4591.625;6198.2142857143;21083.928571429;113513.49344978;4433.7772925764;22344.814814815;25138.245570252;120538.78702398;66091.703056769;2200;197604.16666667;5917.6785714286;6763.1785714286;10.76582278481;23969.5
655.93548387097;5035.7142857143;143.21428571429;3794.21875;4731.4285714286;16369.285714286;57722.096069869;2930.7860262009;13974.074074074;19563.888195658;56640.338504937;49251.403618216;2300;155636.66666667;4964.4285714286;5682.5714285714;8.4177215189873;18957
430.90322580645;4656.7857142857;125.85714285714;3489.375;4235;16216.071428571;48887.947598253;2359.3231441048;11532.880658436;16778.899426004;45500.705218618;42592.014971928;2500;133785.83333333;3256.6785714286;4442.1071428571;7.0696202531646;16359.5
386.12903225806;4610;123.57142857143;3480.34375;4152.5;16540.714285714;47633.144104803;2240.0873362445;11334.032921811;16411.454953831;43943.582510578;41659.388646288;2600;131570;2916.6428571429;4254;6.873417721519;16107
354.32258064516;4531.7857142857;119.14285714286;3412.5;4109.6428571429;16436.071428571;45498.602620087;2137.576419214;11018.395061728;15969.341152982;41732.016925247;40143.480973175;2800;129030.83333333;2670.75;4011.1785714286;6.6139240506329;15824.5
384.58064516129;4633.2142857143;121.5;3486.71875;4236.7857142857;16653.214285714;46673.362445415;2222.8165938865;11460.041152263;16497.741452458;43221.43864598;41207.111665627;2900;133605.83333333;2897.1785714286;4178.5357142857;6.8291139240506;16384.5
488.64516129032;4858.2142857143;128.42857142857;3663.09375;4562.5;16993.214285714;50232.532751092;2479.7161572052;12822.798353909;17983.765909658;48076.163610719;44173.424828447;3100;146634.16666667;3679.75;4719.4642857143;7.4620253164557;17969.5
651.8064516129;5159.6428571429;138.5;3885.71875;5024.6428571429;17179.642857143;55485.851528384;2879.5414847162;14712.716049383;20098.015972049;55272.21438646;48456.01996257;3300;164717.5;4908.8214285714;5529.3214285714;8.3860759493671;20159.5
604.90322580645;5016.7857142857;132.07142857143;3743.28125;4911.4285714286;16693.214285714;52410.131004367;2743.2532751092;13937.489711934;19257.886199151;51796.897038082;46150.966936993;3400;158220.83333333;4550.1071428571;5158.0357142857;7.9683544303797;19389.5
483.29032258065;4771.4285714286;121.21428571429;3550;4639.2857142857;16502.857142857;46981.615720524;2411.2227074236;12634.197530864;17667.581731969;45354.019746121;42052.401746725;3600;146421.66666667;3624.9285714286;4440.3571428571;7.1772151898734;17997
