 model year:   1; julianday:   1; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   2; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   3; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   4; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   5; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   6; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   7; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   8; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:   9; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  10; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  11; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  12; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  13; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  14; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  15; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  16; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  17; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  18; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  19; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  20; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  21; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  22; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  23; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  24; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  25; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  26; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  27; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  28; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  29; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  30; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  31; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  32; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  33; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  34; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  35; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  36; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  37; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  38; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  39; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  40; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  41; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  42; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  43; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  44; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  45; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  46; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  47; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  48; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  49; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  50; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  51; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  52; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  53; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  54; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  55; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  56; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  57; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  58; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  59; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  60; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  61; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  62; dVV(k_bbl_sed):   0.0000000000000000E+00
